Section,Parameter,Value,Unit
Shell,Inside Diameter,1000,mm
Shell,Thickness,20,mm
Shell,Material Name,SA-516 Gr 70,
Nozzle,Outside Diameter,300,mm
Nozzle,Thickness,12,mm
Nozzle,Material Name,SA-106 Gr B,
Nozzle,Angle,90,degrees
Nozzle,Centreline Offset,100,mm
Nozzle,Outside Projection,250,mm
Nozzle,Inside Projection,0,mm
Reinforcement Pad,Enabled,No,
Reinforcement Pad,Outside Diameter,450,mm
Reinforcement Pad,Thickness,10,mm
Reinforcement Pad,Material,SA-516 Gr 70,
Loads,Load Case,Internal Pressure MPa,Fx N,Fy N,Fz N,Mx N-mm,My N-mm,Mz N-mm
Loads,LC1,1.0,0,0,0,0,0,0
